run_id,stage,row_type,global_step,epoch,epoch_progress,loss,accuracy,val_loss,val_accuracy,learning_rate,timestamp
train_20260322_012601,train_full,batch,287,1,0.083285,3.465897560119629,0.20029398798942566,,,0.00016656993830110878,1774143037.272
train_20260322_012601,train_full,batch,574,1,0.16657,2.9587490558624268,0.36092662811279297,,,0.00033313987660221756,1774143245.33
train_20260322_012601,train_full,batch,861,1,0.249855,2.716712713241577,0.444232702255249,,,0.000499709858559072,1774143448.237
train_20260322_012601,train_full,batch,1148,1,0.33314,2.5625247955322266,0.4999863803386688,,,0.0006662797532044351,1774143655.371
train_20260322_012601,train_full,batch,1435,1,0.416425,2.4632153511047363,0.5354747176170349,,,0.0008328497060574591,1774143872.715
train_20260322_012601,train_full,batch,1722,1,0.49971,2.3972179889678955,0.5591971278190613,,,0.000999419717118144,1774144078.533
train_20260322_012601,train_full,batch,2009,1,0.582995,2.3511412143707275,0.5772694945335388,,,0.0011659895535558462,1774144287.955
train_20260322_012601,train_full,batch,2296,1,0.66628,2.3084933757781982,0.5933757424354553,,,0.0013325595064088702,1774144491.813
train_20260322_012601,train_full,batch,2583,1,0.749565,2.2791953086853027,0.6046929359436035,,,0.0014991294592618942,1774144699.097
train_20260322_012601,train_full,batch,2870,1,0.83285,2.254108428955078,0.6143183708190918,,,0.0016656994121149182,1774144911.187
train_20260322_012601,train_full,batch,3157,1,0.916135,2.2319436073303223,0.622718334197998,,,0.0018322693649679422,1774145117.158
train_20260322_012601,train_full,batch,3444,1,0.99942,2.2160890102386475,0.6292464733123779,,,0.001998839434236288,1774145322.586
train_20260322_012601,train_full,batch,3446,1,1.0,2.216167449951172,0.6292846202850342,,,0.001999999862164259,1774145360.495
train_20260322_012601,train_full,epoch_end,3446,1,1.0,2.216167449951172,0.6292846202850342,1.1165125370025635,0.8778516054153442,0.001999999862164259,1774145509.902
train_20260322_012601,train_full,batch,3733,2,0.083285,2.05123233795166,0.6908209919929504,,,0.0019978827331215143,1774145710.66
train_20260322_012601,train_full,batch,4020,2,0.16657,2.0281498432159424,0.7009201049804688,,,0.0019915401935577393,1774145907.517
train_20260322_012601,train_full,batch,4307,2,0.249855,2.0122249126434326,0.7079340815544128,,,0.0019809992518275976,1774146099.565
train_20260322_012601,train_full,batch,4594,2,0.33314,2.0024142265319824,0.7100664377212524,,,0.001966305309906602,1774146286.758
train_20260322_012601,train_full,batch,4881,2,0.416425,2.001295328140259,0.710442066192627,,,0.0019475212320685387,1774146477.297
train_20260322_012601,train_full,batch,5168,2,0.49971,1.9930524826049805,0.7140316367149353,,,0.001924726995639503,1774146668.985
train_20260322_012601,train_full,batch,5455,2,0.582995,1.987783670425415,0.7156312465667725,,,0.0018980203894898295,1774146862.829
train_20260322_012601,train_full,batch,5742,2,0.66628,1.9840909242630005,0.7173617482185364,,,0.0018675155006349087,1774147054.812
train_20260322_012601,train_full,batch,6029,2,0.749565,1.9796723127365112,0.718925416469574,,,0.0018333429470658302,1774147243.999
train_20260322_012601,train_full,batch,6316,2,0.83285,1.9710406064987183,0.7218259572982788,,,0.0017956487135961652,1774147436.065
train_20260322_012601,train_full,batch,6603,2,0.916135,1.9653270244598389,0.7230311036109924,,,0.0017545940354466438,1774147624.223
train_20260322_012601,train_full,batch,6890,2,0.99942,1.959479808807373,0.7245027422904968,,,0.001710354583337903,1774147808.523
train_20260322_012601,train_full,batch,6892,2,1.0,1.9594027996063232,0.7245236039161682,,,0.001710035721771419,1774147809.892
train_20260322_012601,train_full,epoch_end,6892,2,1.0,1.9594027996063232,0.7245236039161682,1.0222432613372803,0.9095215797424316,0.001710035721771419,1774147913.717
train_20260322_012601,train_full,batch,7179,3,0.083285,1.9043608903884888,0.7470601201057434,,,0.0016627806471660733,1774148092.451
train_20260322_012601,train_full,batch,7466,3,0.16657,1.882523536682129,0.7545459866523743,,,0.0016127333510667086,1774148273.576
train_20260322_012601,train_full,batch,7753,3,0.249855,1.8756380081176758,0.7548816800117493,,,0.0015601083869114518,1774148456.216
train_20260322_012601,train_full,batch,8040,3,0.33314,1.8758336305618286,0.7536612749099731,,,0.0015051302034407854,1774148637.771
train_20260322_012601,train_full,batch,8327,3,0.416425,1.8746715784072876,0.7531903386116028,,,0.001448034425266087,1774148823.97
train_20260322_012601,train_full,batch,8614,3,0.49971,1.8750247955322266,0.7526586055755615,,,0.0013890649424865842,1774149008.39
train_20260322_012601,train_full,batch,8901,3,0.582995,1.872489333152771,0.7529632449150085,,,0.0013284743763506413,1774149194.178
train_20260322_012601,train_full,batch,9188,3,0.66628,1.8684288263320923,0.7542057037353516,,,0.0012665214017033577,1774149381.69
train_20260322_012601,train_full,batch,9475,3,0.749565,1.862548828125,0.7557164430618286,,,0.0012034712126478553,1774149564.368
train_20260322_012601,train_full,batch,9762,3,0.83285,1.862844467163086,0.7553299069404602,,,0.0011395937763154507,1774149749.621
train_20260322_012601,train_full,batch,10049,3,0.916135,1.8546427488327026,0.7578099966049194,,,0.0010751618538051844,1774149937.336
train_20260322_012601,train_full,batch,10336,3,0.99942,1.851746916770935,0.7584521770477295,,,0.0010104513494297862,1774150128.085
train_20260322_012601,train_full,batch,10338,3,1.0,1.8518991470336914,0.7584331631660461,,,0.0010099998908117414,1774150128.989
train_20260322_012601,train_full,epoch_end,10338,3,1.0,1.8518991470336914,0.7584331631660461,0.9696135520935059,0.92466139793396,0.0010099998908117414,1774150231.239
train_20260322_012601,train_full,batch,10625,4,0.083285,1.8443697690963745,0.7545187473297119,,,0.0009452883969061077,1774150410.474
train_20260322_012601,train_full,batch,10912,4,0.16657,1.8206998109817505,0.7672855257987976,,,0.0008808535640127957,1774150595.763
train_20260322_012601,train_full,batch,11199,4,0.249855,1.8066670894622803,0.7693633437156677,,,0.0008169711800292134,1774150781.083
train_20260322_012601,train_full,batch,11486,4,0.33314,1.7962353229522705,0.7728114128112793,,,0.000753914297092706,1774150965.481
train_20260322_012601,train_full,batch,11773,4,0.416425,1.7910767793655396,0.7742595672607422,,,0.0006919529405422509,1774151149.507
train_20260322_012601,train_full,batch,12060,4,0.49971,1.7914884090423584,0.7752431631088257,,,0.0006315602804534137,1774151336.706
train_20260322_012601,train_full,batch,12347,4,0.582995,1.78812575340271,0.775797963142395,,,0.0005725726368837059,1774151523.073
