epoch,accuracy,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.9371014833450317,1.0110117197036743,0.9867618083953857,0.9567434191703796,1.2925032377243042,0.9826973676681519
1,0.9613103270530701,0.9235022068023682,0.9929160475730896,0.9717287421226501,1.1715434789657593,0.994129478931427
2,0.9659543633460999,0.9014647603034973,0.9939092397689819,0.9702353477478027,1.1360948085784912,0.9933570027351379
3,0.9749022722244263,0.8654499053955078,0.9956054091453552,0.9729131460189819,1.077430248260498,0.9934599995613098
4,0.979750394821167,0.8424698114395142,0.9965260624885559,0.9731191396713257,1.0523773431777954,0.9935114979743958
5,0.9824533462524414,0.8294703364372253,0.9972743391990662,0.9739945530891418,1.0339633226394653,0.9956743121147156
6,0.9805848598480225,0.8397607803344727,0.9967482686042786,0.9673000574111938,1.0617763996124268,0.9926360845565796
7,0.9837549328804016,0.8241221308708191,0.9973015785217285,0.9708017706871033,1.0746500492095947,0.992327094078064
8,0.9859908223152161,0.8123311996459961,0.997637152671814,0.9643648266792297,1.114574909210205,0.9866110682487488
9,0.9878457188606262,0.8013659715652466,0.9981451034545898,0.9644162654876709,1.1144195795059204,0.9854781627655029
10,0.9892833232879639,0.7918373346328735,0.9983491897583008,0.9652917385101318,1.1450554132461548,0.9881559014320374
11,0.9905214309692383,0.7831640839576721,0.9986575841903687,0.9585972428321838,1.1384531259536743,0.9849116802215576
