epoch,accuracy,loss,val_accuracy,val_loss
0,0.7524739503860474,1.8122349977493286,0.9081718325614929,1.1384446382522583
1,0.8141434192657471,1.6252753734588623,0.9252316951751709,1.1165125377002569
2,0.8297989368438721,1.5862573385238647,0.9435551762580872,1.1018437157574463
3,0.8662074208259583,1.4468817710876465,0.9606676697731018,1.0876213319896431
4,0.8807699084281921,1.3949210643768311,0.9630370736122131,1.0742183925139452
5,0.9063256978988647,1.3744995355606080,0.9738310589574219,1.0609824662855172
6,0.9086477160453796,1.3575676202774048,0.9732518792152405,1.0487316855489699
7,0.9170060753822327,1.2920853614807135,0.9696187973022461,1.0342869162559509
8,0.9236999750137329,1.2724552965164185,0.9815711975097656,1.0342869162559509
9,0.9298134446144104,1.2602288436889648,0.9785172939300537,1.0198424475789070
10,0.9348655939102173,1.2530747461318971,0.9852042799304199,1.0049176812171936
11,0.9354416131973267,1.2310547447204590,0.9876790046691895,0.9884125590324402
12,0.9398180246353149,1.2253012161254883,0.9864153265953064,0.9869834929876111
13,0.9411604404449463,1.2166892004013062,0.9881002306938171,0.9796947245149791
14,0.9428384900093079,1.2042269325256348,0.9881529211997986,0.9749993492987861
